Station,Name,DrogDepth,DepDate,DepTime,DepLong,DepLat,RecovDate,RecovTime,RecovLong,RecovLat
1,273,1.0,11-11-2022,10:28:00,5º 59.928' ,43º 4.8',11-11-2022,14:05:00,5º 59.994,43º 5.342'
1,9666,0.0,11-11-2022,10:28:00,5º 59.928' ,43º 4.8',11-11-2022,14:13:00,6º 0.194',43º 5.617'
1,6439,0.6,11-11-2022,10:28:00,5º 59.928' ,43º 4.8',11-11-2022,14:10:00,5º 59.399',43º 5.403'
2,274,1.0,11-11-2022,10:42:00,5º 59.072',43º 4.695',11-11-2022,13:39:00,5º 59.423',43º 4.929'
2,8436,0.0,11-11-2022,10:42:00,5º 59.072',43º 4.695',11-11-2022,13:38:00,5º 59.282',43º 4.958
2,3368,0.6,11-11-2022,10:42:00,5º 59.072',43º 4.695',11-11-2022,13:35:00,5º 59.115',43º 4.993
3,7230,0.6,11-11-2022,11:06:00,5º 58.405',43º 4.644',11-11-2022,13:56:00,5º 59.158',43º 4.44'
3,119,0.0,11-11-2022,11:06:00,5º 58.405',43º 4.644',11-11-2022,13:57:00,5º 59.192',43º 4.552'
3,277,1.0,11-11-2022,11:06:00,5º 58.405',43º 4.644',11-11-2022,13:56:00,5º 59.158',43º 4.44'
4,2052,0.6,11-11-2022,11:43:00,6º 0.605',42º 59.533',11-11-2022,12:14:00,-,-
